,,auc_heart,auc_heart,auc_diabetes,auc_diabetes,auc_stroke,auc_stroke,auc_macro,auc_macro,auc_micro,auc_micro,ap_heart,ap_heart,ap_diabetes,ap_diabetes,ap_stroke,ap_stroke,hamming,hamming,f1_macro,f1_macro,f1_micro,f1_micro
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
strategy,base,,,,,,,,,,,,,,,,,,,,,,
BR,GB,0.9926,0.0166,1.0,0.0,1.0,0.0,0.9975,0.0055,0.9977,0.0051,0.9864,0.0303,1.0,0.0,1.0,0.0,0.0004,0.0009,0.9974,0.0057,0.9976,0.0053
BR,LR,0.9731,0.0073,0.9717,0.0063,0.9927,0.0049,0.9792,0.003,0.9794,0.0028,0.8108,0.0672,0.835,0.0181,0.9111,0.0461,0.0829,0.0121,0.67,0.037,0.6729,0.0297
BR,RF,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0029,0.002,0.9773,0.0159,0.9831,0.012
CC,GB,0.9926,0.0166,1.0,0.0,1.0,0.0,0.9975,0.0055,0.9977,0.0051,0.9864,0.0303,1.0,0.0,1.0,0.0,0.0004,0.0009,0.9974,0.0057,0.9976,0.0053
CC,LR,0.9731,0.0073,0.972,0.006,0.9929,0.0047,0.9793,0.0032,0.9791,0.0031,0.8108,0.0672,0.8381,0.0171,0.9126,0.0439,0.0844,0.0124,0.6631,0.0378,0.6684,0.0334
CC,RF,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0035,0.0028,0.9715,0.0263,0.9793,0.0171
