strategy,base,auc_heart,auc_diabetes,auc_stroke,auc_macro,auc_micro,ap_heart,ap_diabetes,ap_stroke,hamming,f1_macro,f1_micro
BR,GB,0.9926,1.0,1.0,0.9975,0.9977,0.9864,1.0,1.0,0.0004,0.9974,0.9976
BR,LR,0.9731,0.9717,0.9927,0.9792,0.9794,0.8108,0.835,0.9111,0.0829,0.67,0.6729
BR,RF,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0029,0.9773,0.9831
CC,GB,0.9926,1.0,1.0,0.9975,0.9977,0.9864,1.0,1.0,0.0004,0.9974,0.9976
CC,LR,0.9731,0.972,0.9929,0.9793,0.9791,0.8108,0.8381,0.9126,0.0844,0.6631,0.6684
CC,RF,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0035,0.9715,0.9793
